STATE,MAX_TEMP,MONTH,PERCIPATATION
AL,60.7,2,5.2
AK,16.2,2,2.4
AZ,59.3,2,1.2
AR,54.8,2,4
CA,57.3,2,3.9
CO,41.8,2,1.1
CT,38.7,2,3.1
DE,46.5,2,2.9
FL,72.6,2,2.9
GA,61.9,2,4.3
HI,76.8,2,4.1
ID,37.4,2,2.2
IL,39.7,2,2.1
IN,40.1,2,2.5
IA,33.1,2,1.2
KS,47.2,2,1
KY,48.2,2,3.9
LA,64.1,2,4.6
MA,27.9,2,2.8
MD,45.7,2,2.8
MA,37.4,2,3.3
MI,30.6,2,1.7
MN,24.9,2,0.8
MS,60.6,2,5.3
MO,45.6,2,2.3
MT,34,2,1
NE,40,2,0.7
NV,46.9,2,1.1
NH,31.8,2,3
NJ,43.1,2,2.9
NM,54,2,0.6
NY,32.9,2,2.5
NC,54.8,2,3.4
ND,24.4,2,0.5
OH,39.5,2,2.5
OK,54.6,2,1.7
OR,44.3,2,3.4
PA,38,2,2.6
RI,39.7,2,3.5
SC,60.2,2,3.5
SD,32.8,2,0.6
TN,52,2,4.9
TX,63.9,2,1.6
UT,43.1,2,1.2
VT,29.9,2,2.6
VA,49.2,2,2.9
WA,41.9,2,4.3
WV,44.3,2,3.2
WI,28.8,2,1.1
WY,34.9,2,1
AL,56.1,1,5.3
AK,10.7,1,2.8
AZ,55.7,1,1.2
AR,50,1,3.8
CA,54.6,1,4.1
CO,38.9,1,1.1
CT,36,1,3.6
DE,43.9,1,3.3
FL,69.5,1,3.3
GA,57.8,1,4.5
HI,77,1,3.8
ID,33.2,1,2.8
IL,34.7,1,2.3
IN,35.6,1,2.9
IA,28.1,1,1
KS,42.6,1,0.7
KY,43.5,1,3.7
LA,60,1,5.7
MA,24.7,1,3.3
MD,42.5,1,3.2
MA,34.8,1,3.7
MI,27.6,1,2.1
MN,19.2,1,0.8
MS,56,1,5.5
MO,40.2,1,2.1
MT,30.7,1,1.2
NE,36.3,1,0.5
NV,43.5,1,1.2
NH,28.7,1,3.3
NJ,40.3,1,3.5
NM,49.7,1,0.7
NY,30.2,1,3.1
NC,51.3,1,3.9
ND,19.9,1,0.5
OH,35.9,1,2.9
OK,50,1,1.6
OR,41,1,4.5
PA,34.7,1,3.2
RI,37.5,1,3.9
SC,56.4,1,3.8
SD,28.6,1,0.5
TN,47.4,1,4.6
TX,59.5,1,1.7
UT,38.2,1,1.2
VT,26.8,1,3.1
VA,45.6,1,3.4
WA,37.4,1,6.2
WV,40.3,1,3.5
WI,23.8,1,1.2
WY,32.4,1,1
AL,68.4,3,5.4
AK,21.2,3,2.1
AZ,66.3,3,1
AR,63.4,3,5
CA,62.3,3,3.3
CO,50.7,3,1.4
CT,46.6,3,4.2
DE,54.2,3,4.1
FL,77,3,3.4
GA,69,3,4.6
HI,77.3,3,5.3
ID,45.9,3,2.4
IL,51.3,3,2.9
IN,50.9,3,3.3
IA,46.3,3,2
KS,57.7,3,1.8
KY,57.5,3,4.7
LA,71,3,4.8
MA,37,3,3.3
MD,53.8,3,4
MA,45,3,4.3
MI,41,3,2
MN,37.9,3,1.3
MS,68.4,3,5.5
MO,56.2,3,3.3
MT,43.9,3,1.3
NE,51.4,3,1.3
NV,54.6,3,1.1
NH,40.3,3,3.6
NJ,50.9,3,4.2
NM,61.8,3,0.7
NY,41.4,3,3.1
NC,62.1,3,4.1
ND,37.2,3,0.7
OH,49.4,3,3.3
OK,63.4,3,2.8
OR,50.2,3,3.6
PA,46.9,3,3.5
RI,46.7,3,4.8
SC,67.3,3,3.9
SD,44.7,3,1
TN,60.8,3,5.3
TX,71.2,3,2.1
UT,52.6,3,1.2
VT,38.5,3,3.1
VA,57.2,3,3.9
WA,48.7,3,4.6
WV,53,3,4.1
WI,40.7,3,1.8
WY,44.8,3,1.2
AL,75.8,4,4.9
AK,35,4,1.9
AZ,73.5,4,0.4
AR,72.4,4,5.4
CA,67.6,4,1.7
CO,57.5,4,1.8
CT,58.8,4,4.2
DE,65.4,4,3.5
FL,82.1,4,3.1
GA,76.4,4,3.8
HI,78.7,4,3
ID,53.2,4,2.2
IL,63.9,4,4.2
IN,63.5,4,4.4
IA,60.1,4,3.7
KS,67.1,4,2.7
KY,68.7,4,4.7
LA,77.5,4,5.1
MA,49.7,4,3.7
MD,65.6,4,3.5
MA,57.2,4,4.1
MI,53.8,4,3.1
MN,53.1,4,2.3
MS,75.8,4,5.7
MO,67,4,4.6
MT,53.3,4,1.8
NE,61.1,4,2.5
NV,60.7,4,1
NH,53.5,4,3.9
NJ,62.7,4,3.7
NM,69.2,4,0.6
NY,54.9,4,3.6
NC,71.4,4,3.9
ND,53.3,4,1.3
OH,62.6,4,3.9
OK,72.2,4,3.6
OR,55.7,4,2.9
PA,60.2,4,3.8
RI,57.8,4,4.4
SC,75.6,4,3.4
SD,57,4,2.2
